Time(s) 	 MSE
0.675 	 0.110
1.218 	 0.065
1.761 	 0.055
2.301 	 0.052
2.839 	 0.050
3.377 	 0.049
3.915 	 0.049
4.453 	 0.048
4.999 	 0.048
5.543 	 0.048
6.082 	 0.048
6.623 	 0.048
7.160 	 0.048
7.699 	 0.048
8.242 	 0.048
8.781 	 0.048
9.325 	 0.048
9.883 	 0.048
10.426 	 0.048
10.968 	 0.048
11.506 	 0.048
12.045 	 0.048
12.604 	 0.048
13.142 	 0.048
13.773 	 0.048
14.314 	 0.048
14.862 	 0.048
15.402 	 0.048
16.011 	 0.048
16.549 	 0.048
17.087 	 0.048
17.630 	 0.048
18.168 	 0.048
18.844 	 0.048
19.382 	 0.048
19.922 	 0.048
20.459 	 0.048
20.998 	 0.048
21.540 	 0.048
22.082 	 0.047
22.624 	 0.047
23.167 	 0.047
23.735 	 0.047
24.272 	 0.047
24.883 	 0.047
25.428 	 0.047
25.966 	 0.047
26.523 	 0.047
27.062 	 0.047
27.618 	 0.047
28.162 	 0.047
28.763 	 0.047
29.306 	 0.047
29.846 	 0.047
30.384 	 0.047
30.922 	 0.047
31.587 	 0.047
32.574 	 0.047
33.112 	 0.047
33.652 	 0.047
34.190 	 0.047
34.728 	 0.047
35.268 	 0.047
35.805 	 0.047
36.343 	 0.047
36.881 	 0.047
37.423 	 0.047
37.966 	 0.047
38.660 	 0.047
39.203 	 0.047
39.759 	 0.047
40.296 	 0.047
40.834 	 0.047
41.601 	 0.047
42.351 	 0.047
42.895 	 0.047
43.434 	 0.047
43.975 	 0.047
44.514 	 0.047
45.053 	 0.047
45.597 	 0.047
46.136 	 0.047
46.674 	 0.047
47.420 	 0.047
48.021 	 0.047
48.559 	 0.047
49.099 	 0.047
49.638 	 0.047
50.222 	 0.047
50.799 	 0.047
51.340 	 0.047
51.897 	 0.047
52.434 	 0.047
52.973 	 0.047
53.510 	 0.047
54.055 	 0.047
54.742 	 0.047
55.285 	 0.047
55.828 	 0.047
56.366 	 0.047
