Time(s) 	 PSNR
0.470 	 42.077
0.950 	 42.200
1.431 	 42.053
1.930 	 42.077
2.409 	 40.944
2.891 	 40.779
3.369 	 38.878
3.848 	 38.486
4.356 	 35.642
4.834 	 35.926
5.311 	 37.807
5.823 	 38.546
6.298 	 40.298
6.777 	 41.845
7.424 	 43.083
8.067 	 44.323
8.583 	 44.656
9.058 	 45.584
9.542 	 46.307
10.015 	 47.554
10.487 	 49.039
11.175 	 50.078
11.738 	 49.637
12.210 	 50.425
12.682 	 51.994
13.154 	 52.234
13.627 	 52.891
14.098 	 53.904
14.657 	 55.097
15.324 	 52.179
15.795 	 53.003
16.268 	 54.190
16.741 	 54.211
17.248 	 54.212
17.722 	 55.446
18.195 	 56.270
18.666 	 57.019
19.248 	 56.542
19.824 	 57.269
20.295 	 57.949
20.831 	 57.860
21.302 	 58.477
21.775 	 56.313
22.246 	 57.393
22.718 	 57.925
23.251 	 58.476
24.010 	 59.276
24.565 	 59.561
25.038 	 59.455
25.513 	 58.210
25.987 	 59.377
26.459 	 58.666
26.937 	 58.230
27.410 	 57.729
28.025 	 58.262
28.672 	 55.197
29.179 	 57.661
29.650 	 56.052
30.266 	 57.210
30.744 	 58.259
31.216 	 56.553
31.687 	 58.268
32.158 	 58.467
32.630 	 59.384
33.100 	 59.779
33.570 	 59.826
34.041 	 60.437
34.512 	 59.896
35.161 	 59.262
35.671 	 60.135
36.169 	 59.287
36.645 	 60.237
37.116 	 60.722
37.589 	 60.648
38.062 	 60.881
38.663 	 60.952
39.271 	 60.657
39.742 	 60.912
40.214 	 60.274
40.684 	 60.951
41.156 	 60.213
41.631 	 60.461
42.102 	 61.142
42.576 	 61.190
43.047 	 61.147
43.528 	 61.496
44.000 	 61.122
44.528 	 60.758
45.000 	 61.639
45.473 	 61.121
45.945 	 59.221
46.422 	 60.299
46.952 	 60.721
47.436 	 61.038
47.913 	 60.890
48.387 	 61.416
48.880 	 61.561
49.351 	 59.445
49.823 	 60.657
50.293 	 61.353
