Time(s) 	 SSIM
0.637 	 0.059
1.200 	 0.081
1.764 	 0.094
2.513 	 0.103
3.086 	 0.109
3.651 	 0.114
4.215 	 0.118
4.846 	 0.121
5.413 	 0.124
5.976 	 0.126
6.537 	 0.128
7.099 	 0.130
7.661 	 0.131
8.223 	 0.133
8.785 	 0.134
9.664 	 0.135
10.225 	 0.136
10.787 	 0.138
11.349 	 0.138
11.910 	 0.139
12.472 	 0.140
13.033 	 0.141
13.596 	 0.142
14.269 	 0.142
14.964 	 0.143
15.591 	 0.144
16.153 	 0.144
16.746 	 0.145
17.311 	 0.145
17.869 	 0.146
18.430 	 0.146
18.996 	 0.146
19.560 	 0.147
20.117 	 0.147
20.702 	 0.148
21.318 	 0.148
21.879 	 0.148
22.438 	 0.149
22.996 	 0.149
23.554 	 0.149
24.112 	 0.150
24.698 	 0.150
25.259 	 0.150
25.820 	 0.150
26.383 	 0.151
26.965 	 0.151
27.644 	 0.151
28.217 	 0.151
28.776 	 0.152
29.336 	 0.152
29.898 	 0.152
30.456 	 0.152
31.186 	 0.152
31.794 	 0.153
32.450 	 0.153
33.007 	 0.153
33.564 	 0.153
34.122 	 0.153
34.682 	 0.154
35.238 	 0.154
35.795 	 0.154
36.352 	 0.154
37.019 	 0.154
37.575 	 0.154
38.133 	 0.155
38.692 	 0.155
39.250 	 0.155
39.811 	 0.155
40.376 	 0.155
40.937 	 0.155
41.495 	 0.155
42.175 	 0.156
42.735 	 0.156
43.723 	 0.156
44.280 	 0.156
44.841 	 0.156
45.403 	 0.156
45.974 	 0.156
46.531 	 0.156
47.112 	 0.156
47.669 	 0.157
48.227 	 0.157
48.793 	 0.157
49.354 	 0.157
49.915 	 0.157
50.480 	 0.157
51.037 	 0.157
51.594 	 0.157
52.151 	 0.157
52.844 	 0.157
53.402 	 0.158
53.966 	 0.158
54.658 	 0.158
55.278 	 0.158
55.879 	 0.158
56.437 	 0.158
56.997 	 0.158
57.554 	 0.158
58.112 	 0.158
58.693 	 0.158
